title,sub-title,ref,new_price,reserved_status,geo
Cartier,PANTHÈRE DE CARTIER EARRINGS,B8301509,6750,,Москва
Cartier,PANTHÈRE DE CARTIER EARRINGS,B8301510,6750,,Москва
No name,СЕРЬГИ С БРИЛЛИАНТАМИ 1.00-1.00 CT G/SI1 (GIA),NND1.00-1.00 CT G/SI1,8250,,Москва
Cartier,"LOVE BRACELET, 4 DIAMONDS, PINK GOLD (SIZE 16)",B6069916,11450,,Санкт-Петербург
Tiffany & Co,Tiffany Knot Earrings in Yellow Gold with Diamonds,69346464,3700,,Москва
Messika,GLAM'AZONE DIAMOND DROP EARRINGS,05627-WG,5800,,Москва
Pasquale Bruni,Bon Ton Roses Gold Milky Quartz Earrings,14837R,2000,,Москва
Chopard,Happy Diamonds Sunburst Pendant,796571,9000,,Москва
Messika,MY TWIN EARRINGS,07224-WG,3500,Зарезервировано,
Messika,My Twin single diamond clip earring,10121-WG,1680,,Москва
Messika,GLAM'AZONE DIAMOND BRACELET (SIZE 14-17),06177-WG,5050,,Москва
No name,HEART EMERALD RING 7.42 CT (VIVID GREEN) (GRS),7.42 CT HEART GRS,18500,Зарезервировано,
No name,СЕРЬГИ ROUND DIAMOND 1.51-1.50 CT G/VS1-VS2 (GIA),1.51-1.50CTG/VS1-VS2,19950,,Москва
No name,СЕРЬГИ ROUND DIAMOND 1.59 - 1.64 CT G/VS1-VS2 (GIA),1.59-1.64CTG/VS,21300,,Москва
Cartier,PANTHÈRE DE CARTIER RING (SIZE 52),N4742200-52,25950,,Москва
Van Cleef & Arpels,Two Butterfly Between the Finger ring (SIZE 52),VCARO3M552,28500,,Москва
Van Cleef & Arpels,Two Butterfly pendant,VCARO3M200,13200,,Москва
Tiffany & Co,ROUND DIAMOND RING 0.77 CT G/VS2 (SIZE 52),0.77 CT G/VS2 (T&CO),7850,,Москва
Tiffany & Co,TIFFANY PLATINUM BAND,T&Co080125,2000,,Москва
Tiffany & Co,BAND RING,60002407,2550,,Москва
Cartier,PANTHÈRE DE CARTIER EARRINGS,N8503200,51300,,Москва
Crivelli,WHITE GOLD DIAMOND RING 0.40 CT,000-4383NS,4257,,ТЦ РигаМолл
Bvlgari,SERPENTI VIPER NECKLACE (SIZE M),358776-M,Цена по запросу,,Москва
Cartier,CARTIER D'AMOUR RING (SIZE 57),B4224200-57,2050,,Москва
Cartier,Кольцо 1895 WEDDING BAND (SIZE 52),B4036700-52,1100,Зарезервировано,
Van Cleef & Arpels,"VINTAGE ALHAMBRA BRACELET, 5 MOTIFS",VCARO1IE00,5700,,Москва
Chopard,HAPPY DIAMONDS PLANET BANGLE,85A619-5700,3750,,Москва
Graff,TILDA’S BOW CLASSIC DIAMOND STUD EARRINGS,RGE1149,30400,,Москва
Cartier,"LOVE DIAMOND-PAVED, CERAMIC BRACELET (SIZE 18)",N6032418,42000,,Москва
Graff,DOUBLE BUTTERFLY SILHOUETTE DIAMOND BANGLE,RGB499,11200,,Москва
No name,DIAMOND 17.72 CT F/VVS2 (GIA),17.72CT,Цена по запросу,,Москва
Graff,BUTTERFLY SILHOUETTE DIAMOND BANGLE,RGB500,9000,,Москва
Graff,TILDA’S BOW DIAMOND BANGLE BRACELETS,RGB551,20400,,Москва
Graff,Butterfly Silhouette Diamond Mini Bracelet,RGB466,7240,,Москва
Graff,HEART PENDANT,RGP048,6400,,Москва
Graff,Butterfly Petite Pavé Diamond Line Pendant,rgp837,4675,,Москва
Graff,Small Wild Flower Diamond Pendant,RGP840,10150,,Москва
Graff,BUTTERFLY SILHOUETTE DIAMOND MINI STUD EARRINGS,RGE1574,8880,,Москва
Graff,TILDA'S BOW MINI DIAMOND STUD EARRINGS,RGE1662,6000,,Москва
Graff,Classic Butterfly Diamond Stud Earrings,RGE1854,13750,,Москва
